Election Type,Date,Region,Province or Territory,Constituency,Candidate,Gender,Occupation,Political Affiliation,Result,Votes
General,1993-10-25,BC,British Columbia,Port Moody--Coquitlam,"Hayes, Sharon Ruth",Woman,Homemaker,Reform Party of Canada,Elected,20257
General,1993-10-25,BC,British Columbia,Port Moody--Coquitlam,"Boscariol, Celso",Man,Lawyer,Liberal Party of Canada,Defeated,16546
General,1993-10-25,BC,British Columbia,Port Moody--Coquitlam,"Waddell, Ian Gardiner",Man,Member of Parliament,New Democratic Party,Defeated,12616
General,1993-10-25,BC,British Columbia,Port Moody--Coquitlam,"Allard, Jim",Man,Businessman,Progressive Conservative Party,Defeated,7641
General,1993-10-25,BC,British Columbia,Port Moody--Coquitlam,"Hemming, Mark",Man,Businessman,National Party of Canada,Defeated,1556
General,1993-10-25,BC,British Columbia,Port Moody--Coquitlam,"Ayling, William Robert",Man,Businessman,Natural Law Party of Canada,Defeated,333
General,1993-10-25,BC,British Columbia,Port Moody--Coquitlam,"Berner, Geoffrey",Man,Student,Green Party of Canada,Defeated,329
General,1993-10-25,BC,British Columbia,Port Moody--Coquitlam,"Geddes, Paul A.",Man,Economics instructor,Libertarian Party of Canada,Defeated,239
General,1993-10-25,BC,British Columbia,Port Moody--Coquitlam,"Sackville, Cathie",Woman,Businessperson,No affiliation to a recognised party,Defeated,64
General,1993-10-25,BC,British Columbia,Port Moody--Coquitlam,"Smith, Elizabeth",Woman,Public relations,Party for the Commonwealth of Canada,Defeated,44
General,1993-10-25,BC,British Columbia,Prince George--Bulkley Valley,"Harris, Richard M.",Man,Retired,Reform Party of Canada,Elected,14757
General,1993-10-25,BC,British Columbia,Prince George--Bulkley Valley,"Gardiner, Brian L.",Man,Member of Parliament,New Democratic Party,Defeated,8526
General,1993-10-25,BC,British Columbia,Prince George--Bulkley Valley,"Wilbur, David Stephen",Man,Lawyer,Liberal Party of Canada,Defeated,8147
General,1993-10-25,BC,British Columbia,Prince George--Bulkley Valley,"Kinsley, Colin J.",Man,Construction supervisor,Progressive Conservative Party,Defeated,4463
General,1993-10-25,BC,British Columbia,Prince George--Bulkley Valley,"Prins, Bert",Man,Rancher,Christian Heritage Party of Canada,Defeated,351
General,1993-10-25,BC,British Columbia,Prince George--Bulkley Valley,"Zammuto, Rick",Man,Retired university professor,Green Party of Canada,Defeated,203
General,1993-10-25,BC,British Columbia,Prince George--Bulkley Valley,"Phillips, Alan",Man,Businessman,Natural Law Party of Canada,Defeated,176
General,1993-10-25,BC,British Columbia,Prince George--Peace River,"Hill, Jay D.",Man,Farmer,Reform Party of Canada,Elected,20775
General,1993-10-25,BC,British Columbia,Prince George--Peace River,"Monlezun, Jacques",Man,Service shop owner,Liberal Party of Canada,Defeated,7191
General,1993-10-25,BC,British Columbia,Prince George--Peace River,"Sandhu, Ted",Man,Businessman,Progressive Conservative Party,Defeated,4153
General,1993-10-25,BC,British Columbia,Prince George--Peace River,"Timberlake, Alan",Man,Administrator,New Democratic Party,Defeated,4051
General,1993-10-25,BC,British Columbia,Prince George--Peace River,"Walker, Robert",Man,Engineering research associate,Natural Law Party of Canada,Defeated,295
General,1993-10-25,BC,British Columbia,Prince George--Peace River,"Van der Woude, John",Man,Realtor,Christian Heritage Party of Canada,Defeated,199
General,1993-10-25,BC,British Columbia,Prince George--Peace River,"Folk, Dorothy",Woman,Landlady,Party for the Commonwealth of Canada,Defeated,116
General,1993-10-25,BC,British Columbia,Prince George--Peace River,"Tannock, Archie",Man,Pipefitter,Independent,Defeated,63
General,1993-10-25,BC,British Columbia,Richmond,"Chan, Raymond",Man,Research engineer,Liberal Party of Canada,Elected,21457
General,1993-10-25,BC,British Columbia,Richmond,"Loenen, Nick",Man,Businessman,Reform Party of Canada,Defeated,17900
General,1993-10-25,BC,British Columbia,Richmond,"Siddon, Thomas Edward",Man,Professional engineer,Progressive Conservative Party,Defeated,11033
General,1993-10-25,BC,British Columbia,Richmond,"Surette, Sylvia",Woman,Sales agent,New Democratic Party,Defeated,3633
General,1993-10-25,BC,British Columbia,Richmond,"Pawluk, Fred",Man,Small businessman,National Party of Canada,Defeated,2271
General,1993-10-25,BC,British Columbia,Richmond,"Hudson, Kevan",Man,Teacher,Green Party of Canada,Defeated,336
General,1993-10-25,BC,British Columbia,Richmond,"McClement, Kathy",Woman,Businesswoman,Natural Law Party of Canada,Defeated,333
General,1993-10-25,BC,British Columbia,Richmond,"Campbell, Judith",Woman,Manager,No affiliation to a recognised party,Defeated,317
General,1993-10-25,BC,British Columbia,Richmond,"Vint, Clyde E.",Man,"Aviation repairs, self-employed",Christian Heritage Party of Canada,Defeated,282
General,1993-10-25,BC,British Columbia,Richmond,"Haldeman, Jerry",Man,Retired,Independent,Defeated,166
General,1993-10-25,BC,British Columbia,Richmond,"Pearson, Kerry Daniel",Man,Security guard,Libertarian Party of Canada,Defeated,155
General,1993-10-25,BC,British Columbia,Richmond,"Square-Briggs, John Edgar",Man,Plumber,Independent,Defeated,29
General,1993-10-25,BC,British Columbia,Saanich--Gulf Islands,"Frazer, John L. (Jack)",Man,Retired,Reform Party of Canada,Elected,26480
General,1993-10-25,BC,British Columbia,Saanich--Gulf Islands,"Phillips, Alex",Man,Legal counsel,Liberal Party of Canada,Defeated,18442
General,1993-10-25,BC,British Columbia,Saanich--Gulf Islands,"Hunter, Lynn",Woman,Member of Parliament,New Democratic Party,Defeated,13414
General,1993-10-25,BC,British Columbia,Saanich--Gulf Islands,"Loveless, Marilyn",Woman,Activity co-ordinator,Progressive Conservative Party,Defeated,8222
General,1993-10-25,BC,British Columbia,Saanich--Gulf Islands,"Rayburn, Judith",Woman,College instructor,National Party of Canada,Defeated,3817
General,1993-10-25,BC,British Columbia,Saanich--Gulf Islands,"Guest, Andy",Man,Chartered financial planner,Natural Law Party of Canada,Defeated,524
General,1993-10-25,BC,British Columbia,Saanich--Gulf Islands,"Ward, C.R. Bob",Man,Marine consultant,Independent,Defeated,217
General,1993-10-25,BC,British Columbia,Saanich--Gulf Islands,"Rolind, Arleigh",Woman,Retired bookkeeper,Canada Party,Defeated,53
General,1993-10-25,BC,British Columbia,Skeena,"Scott, Michael G.",Man,Businessman,Reform Party of Canada,Elected,11994
General,1993-10-25,BC,British Columbia,Skeena,"Witherly, Rhoda",Woman,Manager,Liberal Party of Canada,Defeated,7586
General,1993-10-25,BC,British Columbia,Skeena,"Barrett, Joe",Man,Teacher,New Democratic Party,Defeated,6535
General,1993-10-25,BC,British Columbia,Skeena,"Sobol, Isaac",Man,"Family physician, medical health",National Party of Canada,Defeated,2420
General,1993-10-25,BC,British Columbia,Skeena,"Sheridan, Danny",Man,Executive director,Progressive Conservative Party,Defeated,2137
General,1993-10-25,BC,British Columbia,Skeena,"Kwantes, Louis Luke",Man,Account manager,Christian Heritage Party of Canada,Defeated,647
General,1993-10-25,BC,British Columbia,Skeena,"Mehling, Peter Ewart",Man,Accountant,Green Party of Canada,Defeated,178
General,1993-10-25,BC,British Columbia,Skeena,"Danyluk, Calvin",Man,Park supervisor,Natural Law Party of Canada,Defeated,150
General,1993-10-25,BC,British Columbia,Surrey North,"Bridgman, Margaret",Woman,Nurse manager,Reform Party of Canada,Elected,22390
General,1993-10-25,BC,British Columbia,Surrey North,"Vinning, Prem S.",Man,Businessman,Liberal Party of Canada,Defeated,15977
General,1993-10-25,BC,British Columbia,Surrey North,"Karpoff, James Capsey (Jim)",Man,Member of Parliament,New Democratic Party,Defeated,10355
General,1993-10-25,BC,British Columbia,Surrey North,"Blair, Cliff",Man,Businessman,Progressive Conservative Party,Defeated,8381
General,1993-10-25,BC,British Columbia,Surrey North,"Stonier, Shirley Ann",Woman,Consultant - H.R.D.,National Party of Canada,Defeated,2014
General,1993-10-25,BC,British Columbia,Surrey North,"Stilwell, Bill",Man,Engineering technologist,Christian Heritage Party of Canada,Defeated,907
General,1993-10-25,BC,British Columbia,Surrey North,"Quance, Anthony F.",Man,"Tradesman, businessman",Natural Law Party of Canada,Defeated,376
General,1993-10-25,BC,British Columbia,Surrey North,"Karringten, Braden",Man,Consultant,Independent,Defeated,128
General,1993-10-25,BC,British Columbia,Surrey North,"Belanger, Louise J.",Woman,Retired,Party for the Commonwealth of Canada,Defeated,84
General,1993-10-25,BC,British Columbia,Surrey--White Rock--South Langley,"Meredith, Valerie (Val)",Woman,"Businesswoman, realtor",Reform Party of Canada,Elected,32198
General,1993-10-25,BC,British Columbia,Surrey--White Rock--South Langley,"Hogg, Gordon J.",Man,,Liberal Party of Canada,Defeated,24683
General,1993-10-25,BC,British Columbia,Surrey--White Rock--South Langley,"Blain, Norm",Man,Corporate communications,Progressive Conservative Party,Defeated,8885
General,1993-10-25,BC,British Columbia,Surrey--White Rock--South Langley,"Jheeta, Mota Singh",Man,Accounts administrator,New Democratic Party,Defeated,3029
General,1993-10-25,BC,British Columbia,Surrey--White Rock--South Langley,"Goertzen, Carolyn Dorothy",Woman,Counsellor,National Party of Canada,Defeated,2387
General,1993-10-25,BC,British Columbia,Surrey--White Rock--South Langley,"Stilwell, Heather",Woman,Homemaker,Christian Heritage Party of Canada,Defeated,877
General,1993-10-25,BC,British Columbia,Surrey--White Rock--South Langley,"Chitty, Steve",Man,Program director,Green Party of Canada,Defeated,464
General,1993-10-25,BC,British Columbia,Surrey--White Rock--South Langley,"Nadeau, Derek",Man,Sales representative,Natural Law Party of Canada,Defeated,251
General,1993-10-25,BC,British Columbia,Surrey--White Rock--South Langley,"Boylan, Charles",Man,Researcher,Marxist-Leninist Party of Canada,Defeated,67
General,1993-10-25,BC,British Columbia,Surrey--White Rock--South Langley,"Thiessen, Rhonda",Woman,Homemaker,No affiliation to a recognised party,Defeated,59
General,1993-10-25,BC,British Columbia,Surrey--White Rock--South Langley,"Paynter, Farlie",Man,"Agriculturist, teacher",Canada Party,Defeated,56
General,1993-10-25,BC,British Columbia,Surrey--White Rock--South Langley,"Dalla Valle, Giancarlo",Man,Mill worker,Party for the Commonwealth of Canada,Defeated,35
General,1993-10-25,BC,British Columbia,Vancouver Centre,"Fry, Hedy",Woman,Physician,Liberal Party of Canada,Elected,20095
General,1993-10-25,BC,British Columbia,Vancouver Centre,"Campbell, A. Kim",Woman,Lawyer,Progressive Conservative Party,Defeated,16274
General,1993-10-25,BC,British Columbia,Vancouver Centre,"Isbister, Ian",Man,Businessman,Reform Party of Canada,Defeated,11235
General,1993-10-25,BC,British Columbia,Vancouver Centre,"Baxter, Betty",Woman,Businessperson,New Democratic Party,Defeated,9830
General,1993-10-25,BC,British Columbia,Vancouver Centre,"Ewald, Thorsten",Man,Technical writer,National Party of Canada,Defeated,5144
General,1993-10-25,BC,British Columbia,Vancouver Centre,"Cowhig, John",Man,Businessman,Natural Law Party of Canada,Defeated,670
General,1993-10-25,BC,British Columbia,Vancouver Centre,"Popat, Imtiaz",Man,Media producer,Green Party of Canada,Defeated,616
General,1993-10-25,BC,British Columbia,Vancouver Centre,"Lowe, Darren",Man,Legal assistant,Christian Heritage Party of Canada,Defeated,254
General,1993-10-25,BC,British Columbia,Vancouver Centre,"Audain, Tunya",Woman,Taxi driver,Libertarian Party of Canada,Defeated,252
General,1993-10-25,BC,British Columbia,Vancouver Centre,"Salmi, Brian Godzilla Gnu",Man,Businessperson,Independent,Defeated,109
General,1993-10-25,BC,British Columbia,Vancouver Centre,"Adams, Scott",Man,"Writer, author, publisher",Independent,Defeated,99
General,1993-10-25,BC,British Columbia,Vancouver Centre,"Boikoff, Lucille",Woman,Teacher,Party for the Commonwealth of Canada,Defeated,27
General,1993-10-25,BC,British Columbia,Vancouver Centre,"Nuthall, Peter C.",Man,Businessman,Independent,Defeated,24
General,1993-10-25,BC,British Columbia,Vancouver East,"Terrana, Anna Marina",Woman,Executive director,Liberal Party of Canada,Elected,14237
General,1993-10-25,BC,British Columbia,Vancouver East,"Mitchell, Margaret Anne",Woman,Member of Parliament,New Democratic Party,Defeated,12339
General,1993-10-25,BC,British Columbia,Vancouver East,"Stewart, Joan",Woman,Notary public,Reform Party of Canada,Defeated,4671
General,1993-10-25,BC,British Columbia,Vancouver East,"Tom, Susan",Woman,Lawyer,Progressive Conservative Party,Defeated,3484
General,1993-10-25,BC,British Columbia,Vancouver East,"Wright, Bruce Frank",Man,Consultant,National Party of Canada,Defeated,2419
General,1993-10-25,BC,British Columbia,Vancouver East,"Marsden, Wayne",Man,Investment advisor,Libertarian Party of Canada,Defeated,802
General,1993-10-25,BC,British Columbia,Vancouver East,"White, Kelly Elizabeth",Woman,Research of economic development,Green Party of Canada,Defeated,571
General,1993-10-25,BC,British Columbia,Vancouver East,"Grayson, David",Man,Businessman,Natural Law Party of Canada,Defeated,383
General,1993-10-25,BC,British Columbia,Vancouver East,"Cariou, Kimball",Man,Journalist,Independent,Defeated,343
General,1993-10-25,BC,British Columbia,Vancouver East,"Offley, Will",Man,Registered nurse,Independent,Defeated,98
General,1993-10-25,BC,British Columbia,Vancouver East,"Sproule, Brian",Man,Health care worker,Marxist-Leninist Party of Canada,Defeated,84
General,1993-10-25,BC,British Columbia,Vancouver East,"Young, Joe",Man,Machine operator,Independent,Defeated,75
General,1993-10-25,BC,British Columbia,Vancouver East,"Imrie, Alan",Man,CSR,Independent,Defeated,59
General,1993-10-25,BC,British Columbia,Vancouver Quadra,"McWhinney, Edward Watson (Ted)",Man,University professor,Liberal Party of Canada,Elected,20364
General,1993-10-25,BC,British Columbia,Vancouver Quadra,"McArthur, Bill",Man,Physician,Reform Party of Canada,Defeated,11445
General,1993-10-25,BC,British Columbia,Vancouver Quadra,"Chutter, Geoff",Man,Businessperson,Progressive Conservative Party,Defeated,9002
General,1993-10-25,BC,British Columbia,Vancouver Quadra,"Tao, Tommy",Man,Lawyer,New Democratic Party,Defeated,5552
General,1993-10-25,BC,British Columbia,Vancouver Quadra,"Spat, W.J. Willy",Man,Teacher,National Party of Canada,Defeated,3331
General,1993-10-25,BC,British Columbia,Vancouver Quadra,"New-Small, Alannah",Woman,Student,Green Party of Canada,Defeated,594
General,1993-10-25,BC,British Columbia,Vancouver Quadra,"Boytinck, Walter",Man,Businessman,Libertarian Party of Canada,Defeated,410
General,1993-10-25,BC,British Columbia,Vancouver Quadra,"Brooke, Alan M.",Man,Production technologist,Natural Law Party of Canada,Defeated,376
General,1993-10-25,BC,British Columbia,Vancouver Quadra,"Opmeer, Walter",Man,Grocery retail,Christian Heritage Party of Canada,Defeated,208
General,1993-10-25,BC,British Columbia,Vancouver Quadra,"Ludlam, Janet",Woman,Property manager,No affiliation to a recognised party,Defeated,100
General,1993-10-25,BC,British Columbia,Vancouver Quadra,"York, Roman",Man,Pilot,Independent,Defeated,90
General,1993-10-25,BC,British Columbia,Vancouver Quadra,"O'Donnell, Dorothy-Jean",Woman,Lawyer,Marxist-Leninist Party of Canada,Defeated,80
General,1993-10-25,BC,British Columbia,Vancouver Quadra,"Jackman, J.G. Joseph",Man,Electronics technician,Party for the Commonwealth of Canada,Defeated,59
General,1993-10-25,BC,British Columbia,Vancouver South,"Dhaliwal, Harbance Singh (Herb)",Man,Businessman,Liberal Party of Canada,Elected,17215
General,1993-10-25,BC,British Columbia,Vancouver South,"Shreeve, Gordon",Man,Minister,Reform Party of Canada,Defeated,12292
General,1993-10-25,BC,British Columbia,Vancouver South,"Wan, K. K.",Man,Dentist,Progressive Conservative Party,Defeated,11359
General,1993-10-25,BC,British Columbia,Vancouver South,"MatÈ, John",Man,Environmental consultant,New Democratic Party,Defeated,3625
General,1993-10-25,BC,British Columbia,Vancouver South,"Ward, Cameron",Man,Lawyer,National Party of Canada,Defeated,2113
General,1993-10-25,BC,British Columbia,Vancouver South,"Clarke, John",Man,Warehouseman,Libertarian Party of Canada,Defeated,554
General,1993-10-25,BC,British Columbia,Vancouver South,"Jerome, Valerie",Woman,Teacher,Green Party of Canada,Defeated,418
General,1993-10-25,BC,British Columbia,Vancouver South,"Pabbies, Prince",Man,Realtor,Natural Law Party of Canada,Defeated,287
General,1993-10-25,BC,British Columbia,Vancouver South,"Mangat, Jas",Man,Immigration consultant,Independent,Defeated,278
General,1993-10-25,BC,British Columbia,Vancouver South,"Logan, Dan",Man,Carpet and furniture cleaning,Independent,Defeated,69
General,1993-10-25,BC,British Columbia,Vancouver South,"Ross, Robert Walter",Man,Businessman,Independent,Defeated,60
General,1993-10-25,BC,British Columbia,Vancouver South,"Bezanson, Allan H.",Man,Desktop publisher,Marxist-Leninist Party of Canada,Defeated,47
General,1993-10-25,BC,British Columbia,Vancouver South,"Mansour, Issam",Man,Physicist,Independent,Defeated,20
General,1993-10-25,BC,British Columbia,Victoria,"Anderson, David",Man,Environmental consultant,Liberal Party of Canada,Elected,21557
General,1993-10-25,BC,British Columbia,Victoria,"Hunt, Patrick",Man,Computer sales and marketing specialist,Reform Party of Canada,Defeated,15978
General,1993-10-25,BC,British Columbia,Victoria,"Brewin, John F.",Man,Lawyer,New Democratic Party,Defeated,8182
General,1993-10-25,BC,British Columbia,Victoria,"Collins, Faith",Woman,Administrator,Progressive Conservative Party,Defeated,6049
General,1993-10-25,BC,British Columbia,Victoria,"Mavrow, Cecilia",Woman,University lecturer,National Party of Canada,Defeated,4072
General,1993-10-25,BC,British Columbia,Victoria,"Morton, Donna",Woman,"Nanny, waitress, sales, activist",Green Party of Canada,Defeated,1135
General,1993-10-25,BC,British Columbia,Victoria,"Coon, Michael",Man,Marine biologist,Natural Law Party of Canada,Defeated,505
General,1993-10-25,BC,British Columbia,Victoria,"Cowan, R. Kent",Man,Journalist,Libertarian Party of Canada,Defeated,171
General,1993-10-25,BC,British Columbia,Victoria,"Rocan, Roger",Man,Terminal manager (trucking company),Independent,Defeated,121
General,1993-10-25,BC,British Columbia,Victoria,"Foss, V. Anne",Woman,"Counsellor, advocate",Canada Party,Defeated,73
General,1993-10-25,BC,British Columbia,Victoria,"Caldwell, Rhyon",Man,Marketing consultant,Independent,Defeated,49
General,1993-10-25,BC,British Columbia,Victoria,"Currie, John Ernest",Man,Handyman,Independent,Defeated,45
General,1993-10-25,PRAIRIE,Manitoba,Brandon--Souris,"McKinnon, Glen",Man,Retired school principal,Liberal Party of Canada,Elected,12130
General,1993-10-25,PRAIRIE,Manitoba,Brandon--Souris,"Agnew, Edward George",Man,Dentist,Reform Party of Canada,Defeated,11163
General,1993-10-25,PRAIRIE,Manitoba,Brandon--Souris,"Maguire, Larry",Man,Farmer,Progressive Conservative Party,Defeated,8236
General,1993-10-25,PRAIRIE,Manitoba,Brandon--Souris,"Martin, Ross C.",Man,Technical assistant,New Democratic Party,Defeated,4359
General,1993-10-25,PRAIRIE,Manitoba,Brandon--Souris,"Neufeld, Abe",Man,Minister of the gospel,Christian Heritage Party of Canada,Defeated,339
General,1993-10-25,PRAIRIE,Manitoba,Brandon--Souris,"Obach, Eldon",Man,Farm equipment sales,National Party of Canada,Defeated,336
General,1993-10-25,PRAIRIE,Manitoba,Brandon--Souris,"Roberts, Robert",Man,Businessman,Natural Law Party of Canada,Defeated,112
General,1993-10-25,PRAIRIE,Manitoba,Brandon--Souris,"Armstrong, George H.",Man,Journalist,Canada Party,Defeated,82
General,1993-10-25,PRAIRIE,Manitoba,Churchill,"Harper, Elijah",Man,Consultant,Liberal Party of Canada,Elected,9658
General,1993-10-25,PRAIRIE,Manitoba,Churchill,"Murphy, Rodney Edward",Man,Member of Parliament,New Democratic Party,Defeated,8751
General,1993-10-25,PRAIRIE,Manitoba,Churchill,"Knight, Don",Man,Lawyer,Progressive Conservative Party,Defeated,2438
General,1993-10-25,PRAIRIE,Manitoba,Churchill,"Daudrich, Wally",Man,Tour bus operator,Reform Party of Canada,Defeated,2275
General,1993-10-25,PRAIRIE,Manitoba,Churchill,"Settee, Charles",Man,Business executive,National Party of Canada,Defeated,590
General,1993-10-25,PRAIRIE,Manitoba,Dauphin--Swan River,"Cowling, Marlene",Woman,Farmer,Liberal Party of Canada,Elected,10600
General,1993-10-25,PRAIRIE,Manitoba,Dauphin--Swan River,"Brown, Dale",Man,Businessman,Reform Party of Canada,Defeated,9865
General,1993-10-25,PRAIRIE,Manitoba,Dauphin--Swan River,"Struthers, Stan",Man,School principal,New Democratic Party,Defeated,7412
General,1993-10-25,PRAIRIE,Manitoba,Dauphin--Swan River,"Galloway, Bill",Man,"Farmer, businessman",Progressive Conservative Party,Defeated,5267
General,1993-10-25,PRAIRIE,Manitoba,Dauphin--Swan River,"Riley, Tony",Man,Farming,Canada Party,Defeated,260
General,1993-10-25,PRAIRIE,Manitoba,Lisgar--Marquette,"Hoeppner, Jake E.",Man,Semi-retired farmer,Reform Party of Canada,Elected,13385
General,1993-10-25,PRAIRIE,Manitoba,Lisgar--Marquette,"Johnson, Grant",Man,Retired Accountant,Liberal Party of Canada,Defeated,8732
General,1993-10-25,PRAIRIE,Manitoba,Lisgar--Marquette,"Mayer, Charles James",Man,Farmer,Progressive Conservative Party,Defeated,7833
General,1993-10-25,PRAIRIE,Manitoba,Lisgar--Marquette,"King, Leslie",Woman,Minister,New Democratic Party,Defeated,1808
General,1993-10-25,PRAIRIE,Manitoba,Lisgar--Marquette,"Dewit, Martin",Man,Construction,Christian Heritage Party of Canada,Defeated,399
General,1993-10-25,PRAIRIE,Manitoba,Lisgar--Marquette,"Jeffers, Larry",Man,Farmhand,National Party of Canada,Defeated,355
General,1993-10-25,PRAIRIE,Manitoba,Lisgar--Marquette,"Lyall, Roy",Man,Farmer,Canada Party,Defeated,115
General,1993-10-25,PRAIRIE,Manitoba,Portage--Interlake,"Gerrard, Jon",Man,"Physician, scientist",Liberal Party of Canada,Elected,14506
General,1993-10-25,PRAIRIE,Manitoba,Portage--Interlake,"Sawatsky, Don",Man,Businessman,Reform Party of Canada,Defeated,9801
General,1993-10-25,PRAIRIE,Manitoba,Portage--Interlake,"Holtmann, Felix",Man,Member of Parliament,Progressive Conservative Party,Defeated,7036
General,1993-10-25,PRAIRIE,Manitoba,Portage--Interlake,"Gretsinger, Connie",Woman,Registered nurse,New Democratic Party,Defeated,3029
General,1993-10-25,PRAIRIE,Manitoba,Portage--Interlake,"Christian, Mel",Man,Manufacturer,National Party of Canada,Defeated,935
General,1993-10-25,PRAIRIE,Manitoba,Portage--Interlake,"Schwartz, Gary",Man,Self-employed farrier,Natural Law Party of Canada,Defeated,179
General,1993-10-25,PRAIRIE,Manitoba,Portage--Interlake,"Rice, Dennis",Man,Farmer,Libertarian Party of Canada,Defeated,92
General,1993-10-25,PRAIRIE,Manitoba,Portage--Interlake,"Kjear, Hans C.",Man,Farmer,Canada Party,Defeated,83
General,1993-10-25,PRAIRIE,Manitoba,Provencher,"Iftody, David",Man,Business advisor,Liberal Party of Canada,Elected,16119
General,1993-10-25,PRAIRIE,Manitoba,Provencher,"Whiteway, Dean Waldon",Man,Administrator,Reform Party of Canada,Defeated,13463
General,1993-10-25,PRAIRIE,Manitoba,Provencher,"Clark, Kelly",Man,Development officer,Progressive Conservative Party,Defeated,3765
General,1993-10-25,PRAIRIE,Manitoba,Provencher,"Wiebe Owen, Martha",Woman,Housewife,New Democratic Party,Defeated,1818
General,1993-10-25,PRAIRIE,Manitoba,Provencher,"Penner, Wes",Man,Computer consultant,National Party of Canada,Defeated,1212
General,1993-10-25,PRAIRIE,Manitoba,Provencher,"Ayotte, Corrine",Woman,Self-employed,Natural Law Party of Canada,Defeated,157
General,1993-10-25,PRAIRIE,Manitoba,Provencher,"Bezan, Ted",Man,Retired,Canada Party,Defeated,69
General,1993-10-25,PRAIRIE,Manitoba,Selkirk--Red River,"Fewchuk, Ron",Man,Self-employed,Liberal Party of Canada,Elected,16003
General,1993-10-25,PRAIRIE,Manitoba,Selkirk--Red River,"Schreyer, Jason E.",Man,,New Democratic Party,Defeated,12515
General,1993-10-25,PRAIRIE,Manitoba,Selkirk--Red River,"Lewis, Terry",Man,Educational consultant,Reform Party of Canada,Defeated,12412
General,1993-10-25,PRAIRIE,Manitoba,Selkirk--Red River,"Bjornson, David",Man,Member of Parliament,Progressive Conservative Party,Defeated,5687
General,1993-10-25,PRAIRIE,Manitoba,Selkirk--Red River,"Slobodzian, Jim",Man,Assistant director,National Party of Canada,Defeated,1402
General,1993-10-25,PRAIRIE,Manitoba,Selkirk--Red River,"Truijen, Eric",Man,Firefighter paramedic,Christian Heritage Party of Canada,Defeated,400
General,1993-10-25,PRAIRIE,Manitoba,Selkirk--Red River,"Papetti, Rose Marie",Woman,Educator,Natural Law Party of Canada,Defeated,179
General,1993-10-25,PRAIRIE,Manitoba,Selkirk--Red River,"Carver, Ken",Man,Railroad worker,Canada Party,Defeated,79
General,1993-10-25,PRAIRIE,Manitoba,St. Boniface,"Duhamel, Ron J.",Man,Member of Parliament,Liberal Party of Canada,Elected,30042
General,1993-10-25,PRAIRIE,Manitoba,St. Boniface,"Anderson, Alison",Woman,Sales,Reform Party of Canada,Defeated,7960
General,1993-10-25,PRAIRIE,Manitoba,St. Boniface,"Thompson, Barbara",Woman,Registered nurse,Progressive Conservative Party,Defeated,3404
General,1993-10-25,PRAIRIE,Manitoba,St. Boniface,"Dupont, Pauline",Woman,Real estate agent,New Democratic Party,Defeated,3364
General,1993-10-25,PRAIRIE,Manitoba,St. Boniface,"Marion, Marcelle",Woman,Public administrator,National Party of Canada,Defeated,2008
General,1993-10-25,PRAIRIE,Manitoba,St. Boniface,"Dumesnil, Don",Man,Self-employed,Canada Party,Defeated,329
General,1993-10-25,PRAIRIE,Manitoba,St. Boniface,"Robert, Ginette",Woman,Registered nurse,Natural Law Party of Canada,Defeated,251
General,1993-10-25,PRAIRIE,Manitoba,St. Boniface,"Segal, Sharon",Woman,"Researcher, writer",Marxist-Leninist Party of Canada,Defeated,59
General,1993-10-25,PRAIRIE,Manitoba,Winnipeg North,"Pagtakhan, Rey D.",Man,"Member of Parliament, physician",Liberal Party of Canada,Elected,22220
General,1993-10-25,PRAIRIE,Manitoba,Winnipeg North,"Wasylycia-Leis, Judy",Woman,Legislator,New Democratic Party,Defeated,13740
General,1993-10-25,PRAIRIE,Manitoba,Winnipeg North,"Wiens, Mike",Man,Small business owner,Reform Party of Canada,Defeated,4150
General,1993-10-25,PRAIRIE,Manitoba,Winnipeg North,"Filbert, Lynn",Woman,Self-employed,Progressive Conservative Party,Defeated,2001
General,1993-10-25,PRAIRIE,Manitoba,Winnipeg North,"Polonyi, Anna",Woman,Lecturer,National Party of Canada,Defeated,772
General,1993-10-25,PRAIRIE,Manitoba,Winnipeg North,"Papetti, Federico",Man,Mechanic,Natural Law Party of Canada,Defeated,212
General,1993-10-25,PRAIRIE,Manitoba,Winnipeg North,"Lynch, Joe",Man,Musician,Canada Party,Defeated,135
General,1993-10-25,PRAIRIE,Manitoba,Winnipeg North,"Stanley, Mary",Woman,Travel consultant,No affiliation to a recognised party,Defeated,110
General,1993-10-25,PRAIRIE,Manitoba,Winnipeg North Centre,"Walker, David",Man,Professor,Liberal Party of Canada,Elected,13905
General,1993-10-25,PRAIRIE,Manitoba,Winnipeg North Centre,"Hemphill, Maureen",Woman,Cross cultural trainer,New Democratic Party,Defeated,8933
General,1993-10-25,PRAIRIE,Manitoba,Winnipeg North Centre,"Smith, Reg",Man,Retired businessman,Reform Party of Canada,Defeated,2275
General,1993-10-25,PRAIRIE,Manitoba,Winnipeg North Centre,"Zegalski, Leslie",Woman,Market researcher,Progressive Conservative Party,Defeated,1307
General,1993-10-25,PRAIRIE,Manitoba,Winnipeg North Centre,"Domine, Gene",Man,"Publications, electronics",National Party of Canada,Defeated,908
General,1993-10-25,PRAIRIE,Manitoba,Winnipeg North Centre,"Shelton, Deborah",Woman,Social worker,Natural Law Party of Canada,Defeated,176
General,1993-10-25,PRAIRIE,Manitoba,Winnipeg North Centre,"Plewak, James",Man,Student,Independent,Defeated,117
